timestamp,dist_to_goal,bearing_error,min_obstacle_dist,v_cmd,w_cmd,is_tracking,is_visible,goal_reached
1768074571.5720558,0.5238066350523773,0.005821541043953715,0.20970175,0.0,0.3,1,1,0
1768074571.6391838,0.5212986913524192,0.006967701131111781,0.18582846,0.0,0.3,1,1,0
1768074571.7301638,0.6889021120395403,-0.012892681436011078,0.20480092,0.25,0.0,1,1,0
1768074572.05248,0.6882942401295181,-0.013274687662856,0.21138243,0.25,0.0,1,1,0
1768074572.6140513,0.6882113826431182,-0.05378568826439434,0.21875042,0.25,-0.03529411764705881,1,1,0
1768074573.0204623,0.5885755324979463,-0.14616416292808454,0.21185605,0.25,-0.1411764705882353,1,1,0
1768074573.6273718,0.48784783589359454,-0.1721641291790066,0.23180325,0.23214285714285712,-0.1764705882352941,0,0,0
1768074574.2614276,0.5152451685593866,-0.1889202359501314,0.253351,0.21428571428571427,-0.1764705882352941,1,1,0
1768074574.9245775,0.369211468608259,-0.1537360044166487,0.27132756,0.1607142857142857,-0.1411764705882353,1,1,0
1768074575.453408,0.39130161204666997,-0.07129868472241618,0.42169955,0.17857142857142855,-0.07058823529411762,1,1,0
1768074576.0232744,0.46494425966318226,0.0017310017649379006,0.5555465,0.21428571428571427,0.0,1,1,0
1768074576.5703597,0.3678100113951614,0.0794869752304388,0.62016296,0.1607142857142857,0.07058823529411762,1,1,0
1768074577.146777,0.44595939245527927,0.10345392193648051,0.72943074,0.21428571428571427,0.10588235294117643,1,1,0
1768074577.6826155,0.33511345650376007,0.12475739093123117,0.81151724,0.125,0.10588235294117643,1,1,0
1768074578.2246358,0.41476026379682324,0.046437443924706834,0.8818664,0.17857142857142855,0.03529411764705881,1,1,0
1768074578.754863,0.4993840561218539,-0.06308302735340021,0.92796534,0.23214285714285712,-0.07058823529411762,1,1,0
1768074579.2655673,0.4258086374644431,-0.11986637215271578,0.99047214,0.17857142857142855,-0.10588235294117643,1,1,0
1768074579.7556977,0.5129789020175287,-0.19512446720557097,1.0448568,0.25,-0.2117647058823529,1,1,0
1768074580.2531068,0.4111235305900975,-0.2043904214515435,1.1165906,0.19642857142857142,-0.2117647058823529,1,1,0
1768074580.8155198,0.5030281074433975,-0.19319855106950135,1.154922,0.25,-0.2117647058823529,1,1,0
